No.,ID,TIMESTAMP
1,4093,1713707128697
2,2212,1713707133699
3,24357,1713707138704
4,45370,1713707143705
5,19086,1713707148705
6,39547,1713707153709
7,15395,1713707158712
8,15791,1713707163713
9,25409,1713707168713
10,35400,1713707173714
11,24287,1713707178719
12,3604,1713707183720
13,30479,1713707188723
14,7932,1713707193727
15,24378,1713707198728
16,12694,1713707203729
17,7373,1713707208733
18,47933,1713707213733
19,37237,1713707218736
20,33537,1713707223738
21,23619,1713707228739
22,4498,1713707233742
23,46230,1713707238743
24,23008,1713707243743
25,25126,1713707248747
26,34942,1713707253751
27,45512,1713707258752
28,31901,1713707263754
29,6052,1713707268758
30,30266,1713707273759
31,9337,1713707278758
32,10533,1713707283763
33,37850,1713707288764
34,17096,1713707293766
35,49855,1713707298771
36,12057,1713707303773
37,47953,1713707308776
38,28404,1713707313779
39,7928,1713707318779
40,14635,1713707323782
41,19607,1713707328783
42,31881,1713707333785
43,28244,1713707338787
44,43130,1713707343789
45,3339,1713707348790
46,19170,1713707353792
47,45823,1713707358795
48,44178,1713707363796
49,49344,1713707368798
50,39684,1713707373802
51,12610,1713707378802
52,26869,1713707383805
53,23585,1713707388810
54,38487,1713707393810
55,37695,1713707398813
56,26683,1713707403817
57,41350,1713707408817
58,517,1713707413820
59,5967,1713707418822
60,19670,1713707423824
61,14493,1713707428827
62,32112,1713707433830
63,38915,1713707438830
64,11538,1713707443832
65,16011,1713707448837
66,48022,1713707453837
67,39450,1713707458839
68,8353,1713707463843
69,43031,1713707468844
70,29145,1713707473845
71,27067,1713707478850
72,32474,1713707483850
73,40276,1713707488852
74,35284,1713707493857
75,36138,1713707498858
76,15114,1713707503861
77,36534,1713707508864
78,44404,1713707513864
79,43027,1713707518868
80,28165,1713707523870
81,6058,1713707528871
82,13880,1713707533873
83,27688,1713707538875
84,25686,1713707543876
85,18399,1713707548880
86,21810,1713707553885
87,23656,1713707558885
88,10543,1713707563887
89,49744,1713707568893
90,38559,1713707573894
91,14721,1713707578894
92,16570,1713707583898
93,25491,1713707588898
94,6483,1713707593901
95,2864,1713707598906
96,13448,1713707603907
97,19015,1713707608910
98,5829,1713707613913
99,5873,1713707618913
100,9066,1713707623915
101,39539,1713707628920
102,35059,1713707633921
103,41553,1713707638924
104,44886,1713707643929
105,18046,1713707648929
106,41563,1713707653933
107,49091,1713707658937
108,36689,1713707663938
109,46129,1713707668942
110,42236,1713707673946
111,12515,1713707678947
112,35942,1713707683950
113,47219,1713707688956
114,34926,1713707693957
115,16240,1713707698960
116,26035,1713707703965
117,48764,1713707708967
118,23501,1713707713969
119,29846,1713707718974
120,14713,1713707723975
121,2459,1713707728979
122,7259,1713707733981
123,28039,1713707738981
124,9117,1713707743983
125,8136,1713707748985
126,32125,1713707753985
127,19583,1713707758985
128,9907,1713707763990
129,88,1713707768990
130,25781,1713707773993
131,38390,1713707778998
132,6816,1713707783999
133,43348,1713707789002
134,17618,1713707794007
135,20796,1713707799008
136,16479,1713707804011
137,49972,1713707809016
138,15719,1713707814016
139,48620,1713707819020
140,1178,1713707824024
141,35937,1713707829025
142,33954,1713707834029
143,7685,1713707839033
144,20502,1713707844034
145,25589,1713707849038
146,36344,1713707854043
147,1533,1713707859043
148,1156,1713707864046
149,3713,1713707869049
150,3435,1713707874049
151,934,1713707879052
152,14483,1713707884056
153,19721,1713707889057
154,5127,1713707894058
155,2593,1713707899058
156,46082,1713707904059
157,7769,1713707909061
158,854,1713707914066
159,10826,1713707919068
160,13947,1713707924069
161,14800,1713707929073
162,3194,1713707934073
163,15038,1713707939076
164,47791,1713707944082
165,25011,1713707949082
166,35025,1713707954085
167,29853,1713707959090
168,29399,1713707964090
169,33012,1713707969093
170,16926,1713707974098
171,13748,1713707979098
172,38367,1713707984099
173,40779,1713707989099
174,48963,1713707994099
175,14486,1713707999103
176,33388,1713708004108
177,24500,1713708009108
178,24265,1713708014112
179,18227,1713708019117
180,18821,1713708024117
181,17788,1713708029121
182,16676,1713708034127
183,27479,1713708039126
184,6846,1713708044130
185,16440,1713708049133
186,38731,1713708054134
187,5775,1713708059137
188,26953,1713708064141
189,35273,1713708069142
190,15538,1713708074145
191,8697,1713708079150
192,3063,1713708084150
193,41711,1713708089153
194,3242,1713708094157
195,32098,1713708099157
196,41308,1713708104161
197,10945,1713708109165
198,47863,1713708114165
199,39658,1713708119168
200,21781,1713708124171
